id,name,category,products,city,region,min_order,price_level,delivery,certificates,website,email,phone,comment
35,Поставщик 35 — Логистика,логистика,"холодная доставка, транспортировка, склад",Ростов-на-Дону,Урал,20000,средняя,по согласованию,"ветеринарные документы, декларация соответствия",https://supplier35.example.com,sales35@example.com,+7 900 000-35-35,Можно запросить индивидуальный прайс
36,Поставщик 36 — Готовая Продукция,готовая продукция,"готовые обеды, сэндвичи, салаты",Краснодар,Урал,150000,средняя,есть,"нет данных, декларация соответствия",https://supplier36.example.com,sales36@example.com,+7 900 000-36-36,Подходит для малого бизнеса
37,Поставщик 37 — Логистика,логистика,"транспортировка, фулфилмент, холодная доставка",Казань,ПФО,150000,низкая,нет,"сертификаты качества, ветеринарные документы",https://supplier37.example.com,sales37@example.com,+7 900 000-37-37,Можно запросить индивидуальный прайс
38,Поставщик 38 — Готовая Продукция,готовая продукция,"полуфабрикаты, готовые обеды, сэндвичи",Санкт-Петербург,Вся Россия,50000,высокая,есть,"ветеринарные документы, HACCP",https://supplier38.example.com,sales38@example.com,+7 900 000-38-38,Подходит для малого бизнеса
39,Поставщик 39 — Ингредиенты,ингредиенты,"специи, стабилизаторы, масла",Казань,Вся Россия,10000,низкая,нет,"ветеринарные документы, HACCP",https://supplier39.example.com,sales39@example.com,+7 900 000-39-39,Подходит для малого бизнеса
40,Поставщик 40 — Замороженные Продукты,замороженные продукты,"овощи, ягоды, замороженное мясо",Нижний Новгород,Урал,50000,низкая,по согласованию,"декларация соответствия, ISO 22000",https://supplier40.example.com,sales40@example.com,+7 900 000-40-40,Подходит для малого бизнеса
41,Поставщик 41 — Ингредиенты,ингредиенты,"соусы, специи, сахар",Новосибирск,Урал,150000,низкая,по согласованию,"декларация соответствия, HACCP",https://supplier41.example.com,sales41@example.com,+7 900 000-41-41,Можно запросить индивидуальный прайс
42,Поставщик 42 — Мясо И Рыба,мясо и рыба,"свинина, рыба, говядина",Казань,Вся Россия,20000,низкая,по согласованию,"декларация соответствия, HACCP",https://supplier42.example.com,sales42@example.com,+7 900 000-42-42,Можно запросить индивидуальный прайс
43,Поставщик 43 — Упаковка,упаковка,"стаканы, контейнеры, крафт-пакеты",Краснодар,ЦФО,20000,высокая,есть,"нет данных, ветеринарные документы",https://supplier43.example.com,sales43@example.com,+7 900 000-43-43,Есть опыт работы с сетями питания
44,Поставщик 44 — Логистика,логистика,"холодная доставка, фулфилмент, склад",Нижний Новгород,ЦФО,50000,низкая,нет,"сертификаты качества, HACCP",https://supplier44.example.com,sales44@example.com,+7 900 000-44-44,Есть опыт работы с сетями питания
45,Поставщик 45 — Упаковка,упаковка,"крафт-пакеты, пленка, этикетки",Ростов-на-Дону,Юг России,300000,низкая,по согласованию,"декларация соответствия, HACCP",https://supplier45.example.com,sales45@example.com,+7 900 000-45-45,Есть опыт работы с сетями питания
46,Поставщик 46 — Логистика,логистика,"транспортировка, фулфилмент, склад",Казань,Вся Россия,100000,высокая,есть,"ветеринарные документы, сертификаты качества",https://supplier46.example.com,sales46@example.com,+7 900 000-46-46,Есть опыт работы с сетями питания
47,Поставщик 47 — Ингредиенты,ингредиенты,"соусы, сахар, мука",Нижний Новгород,ЦФО,50000,высокая,нет,"HACCP, ISO 22000",https://supplier47.example.com,sales47@example.com,+7 900 000-47-47,Хорошие условия для регулярных заказов
48,Поставщик 48 — Готовая Продукция,готовая продукция,"салаты, полуфабрикаты, готовые обеды",Екатеринбург,Санкт-Петербург и ЛО,100000,высокая,по согласованию,"ветеринарные документы, HACCP",https://supplier48.example.com,sales48@example.com,+7 900 000-48-48,Есть опыт работы с сетями питания
49,Поставщик 49 — Упаковка,упаковка,"пленка, стаканы, этикетки",Краснодар,Урал,30000,высокая,нет,"ISO 22000, декларация соответствия",https://supplier49.example.com,sales49@example.com,+7 900 000-49-49,Есть опыт работы с сетями питания
50,Поставщик 50 — Готовая Продукция,готовая продукция,"сэндвичи, салаты, полуфабрикаты",Новосибирск,ЦФО,300000,низкая,нет,"сертификаты качества, декларация соответствия",https://supplier50.example.com,sales50@example.com,+7 900 000-50-50,Есть опыт работы с сетями питания
51,Поставщик 51 — Готовая Продукция,готовая продукция,"полуфабрикаты, готовые обеды, салаты",Москва,Москва и МО,50000,средняя,по согласованию,"нет данных, сертификаты качества",https://supplier51.example.com,sales51@example.com,+7 900 000-51-51,Хорошие условия для регулярных заказов
52,Поставщик 52 — Замороженные Продукты,замороженные продукты,"полуфабрикаты, овощи, ягоды",Нижний Новгород,Москва и МО,300000,низкая,по согласованию,"HACCP, сертификаты качества",https://supplier52.example.com,sales52@example.com,+7 900 000-52-52,Есть опыт работы с сетями питания
53,Поставщик 53 — Упаковка,упаковка,"крафт-пакеты, контейнеры, пленка",Ростов-на-Дону,Москва и МО,30000,средняя,нет,"ветеринарные документы, декларация соответствия",https://supplier53.example.com,sales53@example.com,+7 900 000-53-53,Хорошие условия для регулярных заказов
54,Поставщик 54 — Ингредиенты,ингредиенты,"масла, сахар, мука",Санкт-Петербург,Москва и МО,50000,средняя,по согласованию,"сертификаты качества, нет данных",https://supplier54.example.com,sales54@example.com,+7 900 000-54-54,Подходит для малого бизнеса
55,Поставщик 55 — Бакалея,бакалея,"консервы, мука, крупы",Санкт-Петербург,Москва и МО,100000,высокая,по согласованию,"сертификаты качества, ISO 22000",https://supplier55.example.com,sales55@example.com,+7 900 000-55-55,Подходит для малого бизнеса
56,Поставщик 56 — Логистика,логистика,"транспортировка, склад, фулфилмент",Казань,Москва и МО,50000,средняя,нет,"ISO 22000, ветеринарные документы",https://supplier56.example.com,sales56@example.com,+7 900 000-56-56,Хорошие условия для регулярных заказов
57,Поставщик 57 — Мясо И Рыба,мясо и рыба,"морепродукты, свинина, рыба",Москва,Москва и МО,50000,низкая,по согласованию,"ISO 22000, HACCP",https://supplier57.example.com,sales57@example.com,+7 900 000-57-57,Подходит для тестовых партий
58,Поставщик 58 — Ингредиенты,ингредиенты,"масла, специи, стабилизаторы",Санкт-Петербург,Урал,30000,низкая,нет,"сертификаты качества, декларация соответствия",https://supplier58.example.com,sales58@example.com,+7 900 000-58-58,Хорошие условия для регулярных заказов
59,Поставщик 59 — Ингредиенты,ингредиенты,"масла, сахар, мука",Москва,Санкт-Петербург и ЛО,20000,высокая,нет,"HACCP, сертификаты качества",https://supplier59.example.com,sales59@example.com,+7 900 000-59-59,Подходит для тестовых партий
60,Поставщик 60 — Напитки,напитки,"вода, лимонады, кофе",Екатеринбург,Москва и МО,300000,низкая,есть,"нет данных, декларация соответствия",https://supplier60.example.com,sales60@example.com,+7 900 000-60-60,Подходит для малого бизнеса
61,Поставщик 61 — Молочная Продукция,молочная продукция,"сыр, творог, сливки",Краснодар,Вся Россия,10000,средняя,есть,"HACCP, ISO 22000",https://supplier61.example.com,sales61@example.com,+7 900 000-61-61,Подходит для тестовых партий
62,Поставщик 62 — Мясо И Рыба,мясо и рыба,"курица, морепродукты, говядина",Санкт-Петербург,Москва и МО,100000,средняя,есть,"сертификаты качества, декларация соответствия",https://supplier62.example.com,sales62@example.com,+7 900 000-62-62,Подходит для малого бизнеса
63,Поставщик 63 — Упаковка,упаковка,"этикетки, контейнеры, пленка",Новосибирск,Сибирь,150000,низкая,по согласованию,"ISO 22000, декларация соответствия",https://supplier63.example.com,sales63@example.com,+7 900 000-63-63,Хорошие условия для регулярных заказов
64,Поставщик 64 — Бакалея,бакалея,"мука, крупы, сахар",Казань,ПФО,50000,высокая,нет,"сертификаты качества, декларация соответствия",https://supplier64.example.com,sales64@example.com,+7 900 000-64-64,Подходит для малого бизнеса
65,Поставщик 65 — Бакалея,бакалея,"консервы, крупы, мука",Нижний Новгород,Москва и МО,100000,высокая,нет,"нет данных, декларация соответствия",https://supplier65.example.com,sales65@example.com,+7 900 000-65-65,Можно запросить индивидуальный прайс
66,Поставщик 66 — Бакалея,бакалея,"консервы, сахар, мука",Санкт-Петербург,Санкт-Петербург и ЛО,150000,средняя,по согласованию,"декларация соответствия, нет данных",https://supplier66.example.com,sales66@example.com,+7 900 000-66-66,Можно запросить индивидуальный прайс
67,Поставщик 67 — Мясо И Рыба,мясо и рыба,"морепродукты, курица, рыба",Краснодар,Москва и МО,20000,высокая,по согласованию,"HACCP, декларация соответствия",https://supplier67.example.com,sales67@example.com,+7 900 000-67-67,Хорошие условия для регулярных заказов
68,Поставщик 68 — Готовая Продукция,готовая продукция,"сэндвичи, готовые обеды, салаты",Новосибирск,Юг России,30000,низкая,по согласованию,"декларация соответствия, ветеринарные документы",https://supplier68.example.com,sales68@example.com,+7 900 000-68-68,Есть опыт работы с сетями питания
69,Поставщик 69 — Бакалея,бакалея,"крупы, макароны, сахар",Екатеринбург,ПФО,300000,высокая,нет,"ISO 22000, HACCP",https://supplier69.example.com,sales69@example.com,+7 900 000-69-69,Есть опыт работы с сетями питания
70,Поставщик 70 — Молочная Продукция,молочная продукция,"сливки, сыр, йогурт",Краснодар,Юг России,20000,высокая,нет,"ISO 22000, декларация соответствия",https://supplier70.example.com,sales70@example.com,+7 900 000-70-70,Можно запросить индивидуальный прайс
71,Поставщик 71 — Мясо И Рыба,мясо и рыба,"рыба, говядина, курица",Казань,ЦФО,20000,высокая,нет,"ветеринарные документы, нет данных",https://supplier71.example.com,sales71@example.com,+7 900 000-71-71,Подходит для тестовых партий
72,Поставщик 72 — Напитки,напитки,"вода, лимонады, соки",Краснодар,ПФО,100000,средняя,по согласованию,"ветеринарные документы, HACCP",https://supplier72.example.com,sales72@example.com,+7 900 000-72-72,Есть опыт работы с сетями питания
73,Поставщик 73 — Ингредиенты,ингредиенты,"сахар, специи, масла",Екатеринбург,ЦФО,20000,высокая,нет,"ветеринарные документы, HACCP",https://supplier73.example.com,sales73@example.com,+7 900 000-73-73,Хорошие условия для регулярных заказов
74,Поставщик 74 — Логистика,логистика,"транспортировка, склад, холодная доставка",Ростов-на-Дону,Санкт-Петербург и ЛО,20000,высокая,по согласованию,"нет данных, сертификаты качества",https://supplier74.example.com,sales74@example.com,+7 900 000-74-74,Можно запросить индивидуальный прайс
75,Поставщик 75 — Ингредиенты,ингредиенты,"масла, специи, стабилизаторы",Казань,ПФО,100000,высокая,по согласованию,"нет данных, HACCP",https://supplier75.example.com,sales75@example.com,+7 900 000-75-75,Хорошие условия для регулярных заказов
76,Поставщик 76 — Замороженные Продукты,замороженные продукты,"овощи, ягоды, замороженное мясо",Нижний Новгород,Москва и МО,150000,высокая,есть,"нет данных, декларация соответствия",https://supplier76.example.com,sales76@example.com,+7 900 000-76-76,Подходит для тестовых партий
77,Поставщик 77 — Молочная Продукция,молочная продукция,"молоко, йогурт, творог",Казань,Санкт-Петербург и ЛО,150000,высокая,есть,"нет данных, ISO 22000",https://supplier77.example.com,sales77@example.com,+7 900 000-77-77,Можно запросить индивидуальный прайс
78,Поставщик 78 — Мясо И Рыба,мясо и рыба,"морепродукты, рыба, свинина",Ростов-на-Дону,Москва и МО,100000,высокая,есть,"HACCP, сертификаты качества",https://supplier78.example.com,sales78@example.com,+7 900 000-78-78,Подходит для малого бизнеса
79,Поставщик 79 — Мясо И Рыба,мясо и рыба,"свинина, рыба, морепродукты",Ростов-на-Дону,ЦФО,100000,высокая,по согласованию,"HACCP, декларация соответствия",https://supplier79.example.com,sales79@example.com,+7 900 000-79-79,Можно запросить индивидуальный прайс
80,Поставщик 80 — Бакалея,бакалея,"сахар, крупы, макароны",Краснодар,Москва и МО,10000,средняя,нет,"нет данных, ветеринарные документы",https://supplier80.example.com,sales80@example.com,+7 900 000-80-80,Есть опыт работы с сетями питания
